year,location_code,coal_metal_export_share,oil_exports_share,primary_exports_share_1,primary_exports_share_2,exp_to_gdp,res_rents
1969,IRL,0.0515997606854208,0.0472627375997911,0.497963494010597,0.548581250176784,,
1970,IRL,0.0559766096219155,0.0560027862353904,0.516225244186429,0.577339691318632,,
1971,IRL,0.0369543185619624,0.0506064313379575,0.50547979655632,0.561386696397862,,
1972,IRL,0.0411965284048158,0.0263699489622627,0.490408487812341,0.524671978383393,,
1973,IRL,0.0454644436313546,0.0376343056646633,0.488209121732142,0.529949743826734,,
1974,IRL,0.0409175792276653,0.117039382212867,0.417597015263945,0.538474988739977,,
1975,IRL,0.0293751749218635,0.0726477861263633,0.484666342521002,0.561721099010499,,
1976,IRL,0.0263637893018969,0.0358295509239175,0.460378025580296,0.500035958537535,,
1977,IRL,0.0296905185089846,0.0319503001045081,0.434918135131387,0.470347597964612,,
1978,IRL,0.0244641099187122,0.0459602583656908,0.435526232271988,0.484530489206712,,
1979,IRL,0.0320498603961527,0.00838511273154145,0.429463793971092,0.440859408467987,,
1980,IRL,0.0305771028476932,0.0060342666862046,0.415071972920812,0.423804555434304,,
1981,IRL,0.0207929313291233,0.00879962961357252,0.383508421338838,0.394636720972288,,
1982,IRL,0.0213905358701142,0.00547813858397282,0.35695949170345,0.364767307316659,,
1983,IRL,0.0211226717930637,0.0105929141935522,0.338803890909919,0.35145545340881,,
1984,IRL,0.0313815572318955,0.0102356257503577,0.328710942244303,0.341033176373349,,
1985,IRL,0.0241083470178757,0.0112022874455182,0.315070669938672,0.328209288116128,,
1986,IRL,0.0220749472251308,0.00642394213644037,0.319923144726506,0.32836724737002,,
1987,IRL,0.0212469600931925,0.00570416255938536,0.325402845197926,0.332983374339911,,
1988,ITA,0.012372291763542,0.0159484898749225,0.0687011678636324,0.0851164065552487,,
1989,ITA,0.0132988477321942,0.0165888495782309,0.0658502645044129,0.0828241182811916,,
1990,ITA,0.0110016274520729,0.0188700415155271,0.0592258521503558,0.0784041528834982,,
1991,ITA,0.0106364179097438,0.019072251178064,0.0645564660748854,0.0839368546480272,,
1992,ITA,0.00970560758270951,0.0172988421762943,0.0631486623572036,0.0807519655726461,,
1993,ITA,0.00961137706201021,0.0174014420608437,0.0609454805357014,0.0787043909671684,,
1994,ITA,0.0103009033908516,0.0130105945870274,0.0613041839118762,0.0745242929848019,,
1995,ITA,0.0112983061546095,0.0106788540224817,0.0612526532283746,0.0721479397957163,,
1996,ITA,0.0102912709925462,0.00989028661786748,0.0609743812866605,0.0709814345303611,,
1997,ITA,0.0105439746470584,0.0115101677240797,0.0587083629305423,0.0703629549571242,,
1998,ITA,0.0103796630069202,0.00868340561026063,0.0587019739345777,0.0674816647302582,,
1999,ITA,0.0106282804003018,0.00979614077505003,0.0616238963114558,0.0715476149430639,,
